"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label","correlation","pred_prob"
"659","ENSP00000357858","ENSP00000261597","9606.ENSP00000261597","9606.ENSP00000357858",975,"NDC80","10403","BUB3","9184",0.607,1,0.556972850665693,0.613283611608765
"661","ENSP00000215793","ENSP00000442699","9606.ENSP00000442699","9606.ENSP00000215793",969,"HTATSF1","27336","SF3A1","10291",0.752,1,0.378384306988373,0.529012172889297
"663","ENSP00000349428","ENSP00000400591","9606.ENSP00000400591","9606.ENSP00000349428",954,"SNRPE","6635","PTBP1","5725",0.372,0,0.335359180431037,0.394430514002877
"664","ENSP00000464342","ENSP00000464813","9606.ENSP00000464813","9606.ENSP00000464342",999,"RPL27","6155","RPL36","25873",0.851,1,0.763221723261179,0.80862749525238
"669","ENSP00000272238","ENSP00000253063","9606.ENSP00000253063","9606.ENSP00000272238",905,"SESN2","83667","ATP6V1C2","245973",0.299,0,-0.0414833113698019,0.0835778161729399
"683","ENSP00000367747","ENSP00000347032","9606.ENSP00000347032","9606.ENSP00000367747",919,"PIP4K2C","79837","PLCH2","9651",0.393,0,0.226320061290598,0.153556185231164
"684","ENSP00000416683","ENSP00000216338","9606.ENSP00000216338","9606.ENSP00000416683",903,"GZMH","2999","IGFALS","3483",0.195,0,0.0425443519561341,0.0834235892112973
"687","ENSP00000420321","ENSP00000422591","9606.ENSP00000422591","9606.ENSP00000420321",999,"SLIT2","9353","ROBO1","6091",0.61,1,0.0238030309366858,0.702502161171472
"689","ENSP00000358616","ENSP00000400591","9606.ENSP00000400591","9606.ENSP00000358616",922,"SNRPE","6635","SMNDC1","10285",0.747,1,-0.133495875509483,0.131481830796383
"694","ENSP00000356430","ENSP00000386229","9606.ENSP00000386229","9606.ENSP00000356430",918,"RGS14","10636","RGS18","64407",1,1,-0.147242874446116,0.115575089233702
"702","ENSP00000300692","ENSP00000244007","9606.ENSP00000244007","9606.ENSP00000300692",927,"PLCG1","5335","CD3D","915",0.376,0,0.0416493106406937,0.170831932337076
"703","ENSP00000364801","ENSP00000261396","9606.ENSP00000261396","9606.ENSP00000364801",901,"NUP133","55746","HSPA1B","3304",0.139,0,-0.053656735784472,0.07306336914983
"704","ENSP00000385571","ENSP00000344215","9606.ENSP00000344215","9606.ENSP00000385571",904,"TP53INP1","94241","HIPK2","28996",0.351,0,-0.00719883877248614,0.0830363638741162
"705","ENSP00000258424","ENSP00000367939","9606.ENSP00000367939","9606.ENSP00000258424",999,"UQCRQ","27089","COX5B","1329",0.727,1,0.725812584799239,0.804030466317821
"713","ENSP00000377192","ENSP00000302393","9606.ENSP00000302393","9606.ENSP00000377192",912,"LDHAL6B","92483","G6PD","2539",0.217,0,-0.0910326068269901,0.100182151702421
"715","ENSP00000363642","ENSP00000263657","9606.ENSP00000263657","9606.ENSP00000363642",989,"PNO1","56902","BMS1","9790",1,1,0.311744792109303,0.678117685234641
"716","ENSP00000351605","ENSP00000304697","9606.ENSP00000304697","9606.ENSP00000351605",912,"UBB","7314","FZD6","8323",0.182,0,-0.263236007309036,0.0886108774231738
