"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"94","ENSP00000260442","ENSP00000365576","9606.ENSP00000365576","9606.ENSP00000260442",914,"UBQLN1","29979","BCL2L10","10017",0.244,0
"95","ENSP00000346300","ENSP00000171887","9606.ENSP00000171887","9606.ENSP00000346300",946,"TNS1","7145","CRKL","1399",0.786,1
"96","ENSP00000274376","ENSP00000307046","9606.ENSP00000307046","9606.ENSP00000274376",970,"SDC2","6383","RASA1","5921",0.193,0
"97","ENSP00000300403","ENSP00000343701","9606.ENSP00000343701","9606.ENSP00000300403",944,"KPNA1","3836","TPX2","22974",0.152,0
"98","ENSP00000354739","ENSP00000388337","9606.ENSP00000388337","9606.ENSP00000354739",949,"SEC61G","23480","RPL12","6136",0.033,0
"99","ENSP00000272348","ENSP00000475615","9606.ENSP00000475615","9606.ENSP00000272348",997,"CWC15","51503","SNRPG","6637",0.773,1
"100","ENSP00000355890","ENSP00000378191","9606.ENSP00000378191","9606.ENSP00000355890",999,"AIMP1","9255","EPRS1","2058",0.125,0
"101","ENSP00000485306","ENSP00000425955","9606.ENSP00000425955","9606.ENSP00000485306",902,"USP17L5","728386","USP17L8","392197",1,1
"102","ENSP00000264709","ENSP00000269397","9606.ENSP00000269397","9606.ENSP00000264709",988,"CBX4","8535","DNMT3A","1788",0.678,1
"103","ENSP00000245544","ENSP00000325377","9606.ENSP00000325377","9606.ENSP00000245544",903,"WDR33","55339","NUP85","79902",0.148,0
"104","ENSP00000481249","ENSP00000478121","9606.ENSP00000478121","9606.ENSP00000481249",999,"ELOC","6921","SOCS2","8835",0.204,0
"105","ENSP00000341838","ENSP00000232975","9606.ENSP00000232975","9606.ENSP00000341838",999,"TNNC1","7134","TNNI3","7137",0.646,1
"106","ENSP00000425561","ENSP00000257177","9606.ENSP00000257177","9606.ENSP00000425561",914,"TUT4","23318","EIF4E","1977",0.202,0
"107","ENSP00000253107","ENSP00000364320","9606.ENSP00000364320","9606.ENSP00000253107",971,"MRTO4","51154","PPAN","56342",0.845,1
"108","ENSP00000263851","ENSP00000306157","9606.ENSP00000306157","9606.ENSP00000263851",999,"IL7R","3575","IL7","3574",0.636,1
"109","ENSP00000261381","ENSP00000373244","9606.ENSP00000373244","9606.ENSP00000261381",902,"CSPG5","10675","XYLT1","64131",0.182,0
"110","ENSP00000256196","ENSP00000251849","9606.ENSP00000251849","9606.ENSP00000256196",993,"RAF1","5894","RRAS2","22800",0.348,0
"111","ENSP00000285298","ENSP00000362036","9606.ENSP00000362036","9606.ENSP00000285298",992,"MRPS16","51021","MRPS17","51373",1,1
"112","ENSP00000412324","ENSP00000288602","9606.ENSP00000288602","9606.ENSP00000412324",910,"BRAF","673","PPP2R5C","5527",0.369,0
"113","ENSP00000317376","ENSP00000223324","9606.ENSP00000223324","9606.ENSP00000317376",969,"MRPL32","64983","MRPS11","64963",1,1
"114","ENSP00000364119","ENSP00000272317","9606.ENSP00000272317","9606.ENSP00000364119",959,"RPS27A","6233","EIF2S2","8894",0.68,1
"115","ENSP00000168216","ENSP00000266987","9606.ENSP00000266987","9606.ENSP00000168216",912,"TARBP2","6895","HSD17B10","3028",0.231,0
"116","ENSP00000382004","ENSP00000222390","9606.ENSP00000222390","9606.ENSP00000382004",929,"HGF","3082","CTNND1","1500",0.222,0
"117","ENSP00000261499","ENSP00000440638","9606.ENSP00000440638","9606.ENSP00000261499",988,"TMEM216","51259","B9D1","27077",0.749,1
"118","ENSP00000238682","ENSP00000339191","9606.ENSP00000339191","9606.ENSP00000238682",920,"CAV1","857","TGFB3","7043",0.383,0
"119","ENSP00000305682","ENSP00000290208","9606.ENSP00000290208","9606.ENSP00000305682",994,"MRPL10","124995","MRPL39","54148",1,1
"120","ENSP00000352516","ENSP00000355759","9606.ENSP00000355759","9606.ENSP00000352516",923,"PARP1","142","DNMT1","1786",0.26,0
"121","ENSP00000309474","ENSP00000313922","9606.ENSP00000313922","9606.ENSP00000309474",901,"OAZ3","51686","PSMD1","5707",0.393,0
"122","ENSP00000258774","ENSP00000310520","9606.ENSP00000310520","9606.ENSP00000258774",970,"ERCC4","2072","HUS1","3364",0.678,1
"123","ENSP00000345895","ENSP00000362146","9606.ENSP00000362146","9606.ENSP00000345895",914,"CDCA8","55143","NUP50","10762",0.112,0
"124","ENSP00000253462","ENSP00000296509","9606.ENSP00000296509","9606.ENSP00000253462",905,"MAD2L1","4085","GINS2","51659",0.125,0
"125","ENSP00000483552","ENSP00000263388","9606.ENSP00000263388","9606.ENSP00000483552",939,"NOTCH3","4854","FURIN","5045",0.175,0
"126","ENSP00000337688","ENSP00000243253","9606.ENSP00000243253","9606.ENSP00000337688",999,"SEC61A1","29927","SEC62","7095",0.753,1
"127","ENSP00000362014","ENSP00000376345","9606.ENSP00000376345","9606.ENSP00000362014",975,"GRB2","2885","DNM1","1759",0.317,0
"128","ENSP00000435096","ENSP00000483484","9606.ENSP00000483484","9606.ENSP00000435096",951,"NSA2","10412","RPS25","6230",0.603,1
"129","ENSP00000394071","ENSP00000333547","9606.ENSP00000333547","9606.ENSP00000394071",959,"RAB11B","9230","GDI1","2664",0.382,0
"130","ENSP00000264144","ENSP00000428056","9606.ENSP00000428056","9606.ENSP00000264144",901,"PIK3R1","5295","LAMC2","3918",0.235,0
"131","ENSP00000315017","ENSP00000259469","9606.ENSP00000259469","9606.ENSP00000315017",928,"RPL35","11224","MRPL1","65008",0.921,1
"132","ENSP00000380402","ENSP00000399415","9606.ENSP00000399415","9606.ENSP00000380402",919,"KYAT1","883","MPST","4357",0.371,0
"133","ENSP00000222390","ENSP00000011619","9606.ENSP00000011619","9606.ENSP00000222390",906,"RANBP9","10048","HGF","3082",0.229,0
"134","ENSP00000310129","ENSP00000362334","9606.ENSP00000362334","9606.ENSP00000310129",999,"PSMB2","5690","PSMD2","5708",1,1
"135","ENSP00000395654","ENSP00000479106","9606.ENSP00000479106","9606.ENSP00000395654",930,"H4C1","8359","SMARCA4","6597",0.249,0
"136","ENSP00000363574","ENSP00000452909","9606.ENSP00000452909","9606.ENSP00000363574",971,"RPL28","6158","EIF6","3692",0.241,0
"137","ENSP00000247153","ENSP00000355751","9606.ENSP00000355751","9606.ENSP00000247153",915,"THBS2","7058","CFP","5199",0.086,0
"138","ENSP00000251363","ENSP00000360296","9606.ENSP00000360296","9606.ENSP00000251363",930,"PLPP3","8613","CERS4","79603",0.247,0
"139","ENSP00000479153","ENSP00000253699","9606.ENSP00000253699","9606.ENSP00000479153",993,"RBSN","64145","EHD1","10938",0.364,0
"140","ENSP00000274181","ENSP00000362304","9606.ENSP00000362304","9606.ENSP00000274181",920,"ADAMTS14","140766","ADAMTS16","170690",0.959,1
"141","ENSP00000261772","ENSP00000360327","9606.ENSP00000360327","9606.ENSP00000261772",930,"PARS2","25973","AARS1","16",0.956,1
"142","ENSP00000323720","ENSP00000263390","9606.ENSP00000263390","9606.ENSP00000323720",994,"MED26","9441","MED14","9282",0.906,1
"143","ENSP00000360608","ENSP00000379818","9606.ENSP00000379818","9606.ENSP00000360608",999,"GRIN2A","2903","GRIN1","2902",0.834,1
"144","ENSP00000259469","ENSP00000341885","9606.ENSP00000341885","9606.ENSP00000259469",999,"RPS2","6187","RPL35","11224",0.745,1
"145","ENSP00000269571","ENSP00000335153","9606.ENSP00000335153","9606.ENSP00000269571",999,"HSP90AA1","3320","ERBB2","2064",0.333,0
"146","ENSP00000311224","ENSP00000367086","9606.ENSP00000367086","9606.ENSP00000311224",939,"ACOT7","11332","ACOT1","641371",0.704,1
"147","ENSP00000215570","ENSP00000261070","9606.ENSP00000261070","9606.ENSP00000215570",982,"COX17","10063","TIMM13","26517",0.129,0
"148","ENSP00000472469","ENSP00000328854","9606.ENSP00000328854","9606.ENSP00000472469",984,"NOC4L","79050","RPS28","6234",1,1
"149","ENSP00000185150","ENSP00000318147","9606.ENSP00000318147","9606.ENSP00000185150",901,"EDEM3","80267","ERLEC1","27248",0.708,1
"150","ENSP00000368104","ENSP00000360242","9606.ENSP00000360242","9606.ENSP00000368104",942,"XIAP","331","BMP2","650",0.341,0
"151","ENSP00000374399","ENSP00000303584","9606.ENSP00000303584","9606.ENSP00000374399",933,"N6AMT1","29104","TRMT61A","115708",0.256,0
"152","ENSP00000251968","ENSP00000323580","9606.ENSP00000323580","9606.ENSP00000251968",913,"IFT88","8100","TSG101","7251",0.28,0
"153","ENSP00000470560","ENSP00000251453","9606.ENSP00000251453","9606.ENSP00000470560",986,"RPS16","6217","EMG1","10436",0.762,1
"154","ENSP00000366999","ENSP00000340507","9606.ENSP00000340507","9606.ENSP00000366999",937,"TRIM24","8805","H3C4","8351",0.202,0
"155","ENSP00000477907","ENSP00000336868","9606.ENSP00000336868","9606.ENSP00000477907",907,"CENPA","1058","H2BC14","8342",0.718,1
"156","ENSP00000256383","ENSP00000481646","9606.ENSP00000481646","9606.ENSP00000256383",981,"RPS10","6204","EIF2S1","1965",0.345,0
"157","ENSP00000357674","ENSP00000447537","9606.ENSP00000447537","9606.ENSP00000357674",998,"BLOC1S1","2647","SNAPIN","23557",0.746,1
"158","ENSP00000349430","ENSP00000426503","9606.ENSP00000426503","9606.ENSP00000349430",906,"RNF4","6047","H2BC12","85236",0.132,0
"159","ENSP00000260210","ENSP00000365625","9606.ENSP00000365625","9606.ENSP00000260210",998,"DHX16","8449","BUD13","84811",0.687,1
"160","ENSP00000358022","ENSP00000425107","9606.ENSP00000425107","9606.ENSP00000358022",965,"ATG12","9140","MCL1","4170",0.222,0
"161","ENSP00000268379","ENSP00000307786","9606.ENSP00000307786","9606.ENSP00000268379",995,"CYCS","54205","UQCRC2","7385",0.671,1
"162","ENSP00000299663","ENSP00000346671","9606.ENSP00000346671","9606.ENSP00000299663",903,"FYN","2534","CLEC4E","26253",0.299,0
"163","ENSP00000363832","ENSP00000225573","9606.ENSP00000225573","9606.ENSP00000363832",923,"PNPO","55163","AOX1","316",0.137,0
"164","ENSP00000355493","ENSP00000360250","9606.ENSP00000360250","9606.ENSP00000355493",907,"ENTPD1","953","ADSS2","159",0.278,0
"165","ENSP00000317300","ENSP00000389395","9606.ENSP00000389395","9606.ENSP00000317300",937,"GPAT2","150763","LPCAT4","254531",0.748,1
"166","ENSP00000357643","ENSP00000367276","9606.ENSP00000367276","9606.ENSP00000357643",920,"CKAP2","26586","MKI67","4288",0.252,0
"167","ENSP00000256190","ENSP00000369538","9606.ENSP00000369538","9606.ENSP00000256190",905,"GDI2","2665","SBF2","81846",0.232,0
"168","ENSP00000310520","ENSP00000325863","9606.ENSP00000325863","9606.ENSP00000310520",975,"MRE11","4361","ERCC4","2072",0.654,1
"169","ENSP00000263967","ENSP00000314897","9606.ENSP00000314897","9606.ENSP00000263967",912,"ANGPT2","285","PIK3CA","5290",0.375,0
"170","ENSP00000253382","ENSP00000212015","9606.ENSP00000212015","9606.ENSP00000253382",953,"SIRT1","23411","ACSS2","55902",0.106,0
"171","ENSP00000209873","ENSP00000358716","9606.ENSP00000358716","9606.ENSP00000209873",902,"DDX20","11218","AAAS","8086",0.12,0
"172","ENSP00000254719","ENSP00000240488","9606.ENSP00000240488","9606.ENSP00000254719",919,"MND1","84057","RPA1","6117",0.311,0
"173","ENSP00000306983","ENSP00000351446","9606.ENSP00000351446","9606.ENSP00000306983",994,"WDR5","11091","YEATS2","55689",0.9,1
"174","ENSP00000228347","ENSP00000380904","9606.ENSP00000380904","9606.ENSP00000228347",999,"POLR3D","661","POLR3B","55703",0.93,1
"175","ENSP00000261708","ENSP00000327179","9606.ENSP00000327179","9606.ENSP00000261708",999,"UTP4","84916","UTP6","55813",0.856,1
"176","ENSP00000330898","ENSP00000301788","9606.ENSP00000301788","9606.ENSP00000330898",972,"POLR2G","5436","POLR2J2","246721",1,1
"177","ENSP00000248342","ENSP00000278572","9606.ENSP00000278572","9606.ENSP00000248342",949,"RPS3","6188","EIF3K","27335",0.296,0
"178","ENSP00000470252","ENSP00000403852","9606.ENSP00000403852","9606.ENSP00000470252",998,"POLR2F","5435","SUPT5H","6829",0.645,1
"179","ENSP00000481675","ENSP00000407586","9606.ENSP00000407586","9606.ENSP00000481675",943,"HRAS","3265","SPRY1","10252",0.305,0
"180","ENSP00000382779","ENSP00000258742","9606.ENSP00000258742","9606.ENSP00000382779",910,"NUP42","11097","SEH1L","81929",0.325,0
"181","ENSP00000329380","ENSP00000477527","9606.ENSP00000477527","9606.ENSP00000329380",901,"H2BC17","8348","GP1BA","2811",0.126,0
"182","ENSP00000307046","ENSP00000243077","9606.ENSP00000243077","9606.ENSP00000307046",908,"LRP1","4035","SDC2","6383",0.162,0
"183","ENSP00000329967","ENSP00000331288","9606.ENSP00000331288","9606.ENSP00000329967",999,"STING1","340061","TBK1","29110",0.694,1
"184","ENSP00000341268","ENSP00000345083","9606.ENSP00000345083","9606.ENSP00000341268",937,"MAP2K3","5606","TRADD","8717",0.601,1
"185","ENSP00000368565","ENSP00000364801","9606.ENSP00000364801","9606.ENSP00000368565",961,"HSPA1B","3304","DNAJC2","27000",0.323,0
"186","ENSP00000346120","ENSP00000349430","9606.ENSP00000349430","9606.ENSP00000346120",902,"H2BC12","85236","DDX21","9188",0.1,0
"187","ENSP00000370258","ENSP00000419449","9606.ENSP00000419449","9606.ENSP00000370258",928,"EIF1","10209","EIF3CL","728689",1,1
"188","ENSP00000246071","ENSP00000257181","9606.ENSP00000257181","9606.ENSP00000246071",984,"PRPF38A","84950","SNRPB2","6629",1,1
"189","ENSP00000462667","ENSP00000477527","9606.ENSP00000477527","9606.ENSP00000462667",918,"H2BC17","8348","H4C14","8370",1,1
"190","ENSP00000417335","ENSP00000362717","9606.ENSP00000362717","9606.ENSP00000417335",928,"LHX2","9355","ROBO2","6092",0.265,0
"191","ENSP00000483903","ENSP00000342434","9606.ENSP00000342434","9606.ENSP00000483903",914,"BAZ1B","9031","H2BC15","8341",0.373,0
"192","ENSP00000362121","ENSP00000419279","9606.ENSP00000419279","9606.ENSP00000362121",975,"IFT56","79989","IFT52","51098",0.801,1
"193","ENSP00000391481","ENSP00000283646","9606.ENSP00000283646","9606.ENSP00000391481",997,"RPIA","22934","TKT","7086",0.762,1
"194","ENSP00000265097","ENSP00000326531","9606.ENSP00000326531","9606.ENSP00000265097",999,"THOC6","79228","THOC3","84321",1,1
"195","ENSP00000268661","ENSP00000309334","9606.ENSP00000309334","9606.ENSP00000268661",992,"RPL15","6138","RPL3L","6123",1,1
"196","ENSP00000332194","ENSP00000396052","9606.ENSP00000396052","9606.ENSP00000332194",903,"BRMS1","25855","H2AC20","8338",0.767,1
"197","ENSP00000229214","ENSP00000402338","9606.ENSP00000402338","9606.ENSP00000229214",970,"RPF2","84154","KRR1","11103",0.725,1
"198","ENSP00000292114","ENSP00000301587","9606.ENSP00000301587","9606.ENSP00000292114",911,"ATP5PD","10476","TMEM199","147007",0.068,0
"199","ENSP00000443194","ENSP00000353720","9606.ENSP00000353720","9606.ENSP00000443194",919,"CES1","1066","NAT1","9",0.301,0
"200","ENSP00000464813","ENSP00000361076","9606.ENSP00000361076","9606.ENSP00000464813",999,"RPL7A","6130","RPL27","6155",0.963,1
"201","ENSP00000399511","ENSP00000382423","9606.ENSP00000382423","9606.ENSP00000399511",904,"MAP3K1","4214","TNIK","23043",0.399,0
"202","ENSP00000259241","ENSP00000307046","9606.ENSP00000307046","9606.ENSP00000259241",959,"SDC2","6383","HS6ST1","9394",0.371,0
"203","ENSP00000272317","ENSP00000363826","9606.ENSP00000363826","9606.ENSP00000272317",907,"FZD8","8325","RPS27A","6233",0.081,0
"204","ENSP00000316338","ENSP00000451828","9606.ENSP00000451828","9606.ENSP00000316338",985,"AKT1","207","BAIAP2","10458",0.216,0
"205","ENSP00000346671","ENSP00000226730","9606.ENSP00000226730","9606.ENSP00000346671",949,"IL2","3558","FYN","2534",0.383,0
"206","ENSP00000340820","ENSP00000215832","9606.ENSP00000215832","9606.ENSP00000340820",906,"MAPK1","5594","MAPT","4137",0.397,0
"207","ENSP00000012443","ENSP00000286788","9606.ENSP00000286788","9606.ENSP00000012443",922,"CCT8","10694","PPP5C","5536",0.236,0
"208","ENSP00000257789","ENSP00000418268","9606.ENSP00000418268","9606.ENSP00000257789",962,"MCM10","55388","ORC3","23595",0.646,1
"209","ENSP00000304102","ENSP00000365401","9606.ENSP00000365401","9606.ENSP00000304102",906,"CCDC22","28952","COPS6","10980",0.151,0
"210","ENSP00000341885","ENSP00000379506","9606.ENSP00000379506","9606.ENSP00000341885",999,"RPL14","9045","RPS2","6187",0.649,1
"211","ENSP00000380692","ENSP00000339740","9606.ENSP00000339740","9606.ENSP00000380692",908,"CAMK2D","817","KDM7A","80853",0.16,0
"212","ENSP00000270517","ENSP00000312618","9606.ENSP00000312618","9606.ENSP00000270517",999,"ACAD9","28976","ECSIT","51295",0.277,0
"213","ENSP00000308533","ENSP00000412566","9606.ENSP00000412566","9606.ENSP00000308533",974,"SNRPB","6628","GEMIN2","8487",0.749,1
"214","ENSP00000272317","ENSP00000265433","9606.ENSP00000265433","9606.ENSP00000272317",904,"NBN","4683","RPS27A","6233",0.273,0
"215","ENSP00000326804","ENSP00000257430","9606.ENSP00000257430","9606.ENSP00000326804",906,"APC","324","CUL1","8454",0.296,0
"216","ENSP00000416255","ENSP00000311032","9606.ENSP00000311032","9606.ENSP00000416255",937,"CASP3","836","EIF4G1","1981",0.332,0
"217","ENSP00000416429","ENSP00000388107","9606.ENSP00000388107","9606.ENSP00000416429",999,"UBA52","7311","RPL32","6161",0.729,1
"218","ENSP00000450731","ENSP00000305255","9606.ENSP00000305255","9606.ENSP00000450731",999,"STX8","9482","VTI1B","10490",0.678,1
"219","ENSP00000261769","ENSP00000295797","9606.ENSP00000295797","9606.ENSP00000261769",932,"PRKCI","5584","CDH1","999",0.392,0
"220","ENSP00000360266","ENSP00000303315","9606.ENSP00000303315","9606.ENSP00000360266",976,"JUNB","3726","JUN","3725",0.7,1
"221","ENSP00000404375","ENSP00000345957","9606.ENSP00000345957","9606.ENSP00000404375",999,"RPS21","6227","RPL36A","6173",0.73,1
"222","ENSP00000371475","ENSP00000462667","9606.ENSP00000462667","9606.ENSP00000371475",944,"H4C14","8370","TP53BP1","7158",0.216,0
"223","ENSP00000360497","ENSP00000215829","9606.ENSP00000215829","9606.ENSP00000360497",988,"SNRPD3","6634","RNF113A","7737",0.653,1
"224","ENSP00000194530","ENSP00000229328","9606.ENSP00000229328","9606.ENSP00000194530",906,"PRKAB1","5564","STRADB","55437",0.14,0
"225","ENSP00000377721","ENSP00000384179","9606.ENSP00000384179","9606.ENSP00000377721",912,"ZFPM2","23414","NR2F2","7026",0.649,1
"226","ENSP00000386896","ENSP00000400365","9606.ENSP00000400365","9606.ENSP00000386896",952,"LAMA2","3908","ITGA6","3655",0.357,0
"227","ENSP00000005257","ENSP00000420211","9606.ENSP00000420211","9606.ENSP00000005257",950,"RGL2","5863","RALA","5898",1,1
"228","ENSP00000012443","ENSP00000444810","9606.ENSP00000444810","9606.ENSP00000012443",933,"FKBP5","2289","PPP5C","5536",0.218,0
"229","ENSP00000254940","ENSP00000366519","9606.ENSP00000366519","9606.ENSP00000254940",953,"NSUN6","221078","NIP7","51388",0.079,0
"230","ENSP00000362744","ENSP00000377640","9606.ENSP00000377640","9606.ENSP00000362744",999,"RPL24","6152","RPS4X","6191",0.674,1
"231","ENSP00000283195","ENSP00000429986","9606.ENSP00000429986","9606.ENSP00000283195",918,"ENY2","56943","RANBP2","5903",0.257,0
"232","ENSP00000222812","ENSP00000216117","9606.ENSP00000216117","9606.ENSP00000222812",903,"HMOX1","3162","STX1A","6804",0.133,0
"233","ENSP00000262102","ENSP00000360973","9606.ENSP00000360973","9606.ENSP00000262102",906,"AGTR2","186","MTUS1","57509",0.235,0
"234","ENSP00000333401","ENSP00000288937","9606.ENSP00000288937","9606.ENSP00000333401",999,"MRPL17","63875","MRPL40","64976",1,1
"235","ENSP00000363668","ENSP00000355778","9606.ENSP00000355778","9606.ENSP00000363668",990,"H3-3A","3020","DAXX","1616",0.261,0
"236","ENSP00000260363","ENSP00000363524","9606.ENSP00000363524","9606.ENSP00000260363",982,"KIF4A","24137","KIF23","9493",0.712,1
"237","ENSP00000217131","ENSP00000355627","9606.ENSP00000355627","9606.ENSP00000217131",909,"AGT","183","CTSZ","1522",0.169,0
"238","ENSP00000350512","ENSP00000384109","9606.ENSP00000384109","9606.ENSP00000350512",994,"CUL4B","8450","COPS5","10987",0.356,0
"239","ENSP00000338389","ENSP00000356001","9606.ENSP00000356001","9606.ENSP00000338389",984,"MRPL18","29074","MRPL35","51318",0.808,1
"240","ENSP00000384092","ENSP00000219070","9606.ENSP00000219070","9606.ENSP00000384092",914,"MMP2","4313","POMC","5443",0.295,0
"241","ENSP00000349576","ENSP00000339479","9606.ENSP00000339479","9606.ENSP00000349576",964,"NT5C2","22978","DCTD","1635",0.351,0
"242","ENSP00000336868","ENSP00000274026","9606.ENSP00000274026","9606.ENSP00000336868",909,"CCNA2","890","CENPA","1058",0.211,0
"243","ENSP00000406046","ENSP00000278616","9606.ENSP00000278616","9606.ENSP00000406046",955,"ATM","472","POLD1","5424",0.359,0
"244","ENSP00000262948","ENSP00000391676","9606.ENSP00000391676","9606.ENSP00000262948",922,"JAK3","3718","MAP2K2","5605",0.355,0
"245","ENSP00000353099","ENSP00000263967","9606.ENSP00000263967","9606.ENSP00000353099",905,"PIK3CA","5290","HLA-DRB1","3123",0.363,0
"246","ENSP00000298316","ENSP00000263967","9606.ENSP00000263967","9606.ENSP00000298316",917,"PIK3CA","5290","ARF6","382",0.351,0
"247","ENSP00000420176","ENSP00000372088","9606.ENSP00000372088","9606.ENSP00000420176",921,"RAD51","5888","POLE4","56655",0.679,1
"248","ENSP00000259951","ENSP00000381601","9606.ENSP00000381601","9606.ENSP00000259951",916,"MX1","4599","HLA-F","3134",0.253,0
"249","ENSP00000261015","ENSP00000338573","9606.ENSP00000338573","9606.ENSP00000261015",957,"GNL3L","54552","WDR12","55759",0.197,0
"250","ENSP00000260443","ENSP00000386717","9606.ENSP00000386717","9606.ENSP00000260443",997,"RPL31","6160","RSL24D1","51187",0.054,0
"251","ENSP00000368565","ENSP00000364802","9606.ENSP00000364802","9606.ENSP00000368565",965,"HSPA1A","3303","DNAJC2","27000",0.32,0
"252","ENSP00000361824","ENSP00000267257","9606.ENSP00000267257","9606.ENSP00000361824",919,"PXN","5829","SPTAN1","6709",0.331,0
"253","ENSP00000430432","ENSP00000263360","9606.ENSP00000263360","9606.ENSP00000430432",993,"EED","8726","HDAC2","3066",0.359,0
"254","ENSP00000378529","ENSP00000287598","9606.ENSP00000287598","9606.ENSP00000378529",974,"BUB1B","701","FZR1","51343",0.173,0
"255","ENSP00000412566","ENSP00000471191","9606.ENSP00000471191","9606.ENSP00000412566",936,"NUP62","23636","SNRPB","6628",0.125,0
"256","ENSP00000380982","ENSP00000350698","9606.ENSP00000350698","9606.ENSP00000380982",909,"DDX47","51202","PUM3","9933",0.186,0
"257","ENSP00000252711","ENSP00000354687","9606.ENSP00000354687","9606.ENSP00000252711",997,"MT-ND1","4535","NDUFA10","4705",1,1
"258","ENSP00000257290","ENSP00000244007","9606.ENSP00000244007","9606.ENSP00000257290",973,"PLCG1","5335","PDGFRA","5156",0.385,0
"259","ENSP00000408979","ENSP00000354791","9606.ENSP00000354791","9606.ENSP00000408979",921,"DCTN1","1639","KIF5A","3798",0.281,0
"260","ENSP00000412237","ENSP00000218388","9606.ENSP00000218388","9606.ENSP00000412237",964,"TIMP1","7076","IL10","3586",0.334,0
"261","ENSP00000473990","ENSP00000350928","9606.ENSP00000350928","9606.ENSP00000473990",908,"GAD1","2571","ALDH3B1","221",0.259,0
"262","ENSP00000363019","ENSP00000437955","9606.ENSP00000437955","9606.ENSP00000363019",947,"HIF1A","3091","UBE2D1","7321",0.319,0
"263","ENSP00000362680","ENSP00000358490","9606.ENSP00000358490","9606.ENSP00000362680",943,"CD2","914","SRC","6714",0.38,0
"264","ENSP00000355656","ENSP00000347168","9606.ENSP00000347168","9606.ENSP00000355656",948,"H4C11","8363","H2AC25","92815",0.303,0
"265","ENSP00000347055","ENSP00000290378","9606.ENSP00000290378","9606.ENSP00000347055",918,"ACTC1","70","MYL4","4635",0.204,0
"266","ENSP00000420714","ENSP00000360850","9606.ENSP00000360850","9606.ENSP00000420714",999,"MRPS2","51116","MRPS14","63931",0.74,1
"267","ENSP00000356230","ENSP00000331682","9606.ENSP00000331682","9606.ENSP00000356230",917,"KLHL22","84861","KLHL12","59349",0.352,0
"268","ENSP00000477907","ENSP00000430432","9606.ENSP00000430432","9606.ENSP00000477907",921,"HDAC2","3066","H2BC14","8342",0.376,0
"269","ENSP00000370542","ENSP00000300026","9606.ENSP00000300026","9606.ENSP00000370542",958,"PPIB","5479","SDC1","6382",0.198,0
"270","ENSP00000420494","ENSP00000289902","9606.ENSP00000289902","9606.ENSP00000420494",936,"FCER1G","2207","LAT2","7462",0.339,0
"271","ENSP00000481842","ENSP00000421592","9606.ENSP00000421592","9606.ENSP00000481842",927,"ALYREF","10189","SAP18","10284",0.108,0
"272","ENSP00000244537","ENSP00000341094","9606.ENSP00000341094","9606.ENSP00000244537",936,"H2AC7","3013","H4C6","8361",0.376,0
"273","ENSP00000354532","ENSP00000329466","9606.ENSP00000329466","9606.ENSP00000354532",939,"SIRT7","51547","PNP","4860",0.311,0
"274","ENSP00000308541","ENSP00000265563","9606.ENSP00000265563","9606.ENSP00000308541",902,"PRKAR2A","5576","F2","2147",0.254,0
"275","ENSP00000360060","ENSP00000262320","9606.ENSP00000262320","9606.ENSP00000360060",996,"AXIN1","8312","FRAT1","10023",0.213,0
"276","ENSP00000362674","ENSP00000341094","9606.ENSP00000341094","9606.ENSP00000362674",916,"H2AC7","3013","HDAC8","55869",1,1
"277","ENSP00000262158","ENSP00000362339","9606.ENSP00000362339","9606.ENSP00000262158",903,"SAR1A","56681","SMAD7","4092",0.223,0
"278","ENSP00000361658","ENSP00000256079","9606.ENSP00000256079","9606.ENSP00000361658",904,"IPO8","10526","NUP188","23511",0.602,1
"279","ENSP00000342015","ENSP00000306425","9606.ENSP00000306425","9606.ENSP00000342015",987,"CHCHD7","79145","COX19","90639",0.801,1
"280","ENSP00000345672","ENSP00000009530","9606.ENSP00000009530","9606.ENSP00000345672",934,"CD74","972","CTSB","1508",0.193,0
"281","ENSP00000256442","ENSP00000245544","9606.ENSP00000245544","9606.ENSP00000256442",912,"NUP85","79902","CCNB1","891",0.135,0
"282","ENSP00000226299","ENSP00000383232","9606.ENSP00000383232","9606.ENSP00000226299",922,"GGT1","2678","LAP3","51056",1,1
"283","ENSP00000311486","ENSP00000228799","9606.ENSP00000228799","9606.ENSP00000311486",999,"ITFG2","55846","KICS2","144577",0.843,1
"284","ENSP00000320359","ENSP00000393541","9606.ENSP00000393541","9606.ENSP00000320359",992,"IFT27","11020","IFT22","64792",0.677,1
"285","ENSP00000307479","ENSP00000437955","9606.ENSP00000437955","9606.ENSP00000307479",988,"HIF1A","3091","ARNT2","9915",0.398,0
"286","ENSP00000385523","ENSP00000346768","9606.ENSP00000346768","9606.ENSP00000385523",923,"UGT1A9","54600","PPARA","5465",0.291,0
"287","ENSP00000361076","ENSP00000251453","9606.ENSP00000251453","9606.ENSP00000361076",999,"RPS16","6217","RPL7A","6130",0.862,1
"288","ENSP00000325527","ENSP00000483552","9606.ENSP00000483552","9606.ENSP00000325527",945,"FURIN","5045","FBN1","2200",0.225,0
"289","ENSP00000361107","ENSP00000221496","9606.ENSP00000221496","9606.ENSP00000361107",914,"AMH","268","BMPR1A","657",0.369,0
