"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"1332","ENSP00000389714","ENSP00000344456","9606.ENSP00000344456","9606.ENSP00000389714",999,"CTNNB1","1499","CTNNA3","29119",0.186,0
"1333","ENSP00000342513","ENSP00000364016","9606.ENSP00000364016","9606.ENSP00000342513",919,"PSMB8","5696","IFI6","2537",0.121,0
"1334","ENSP00000255764","ENSP00000251871","9606.ENSP00000251871","9606.ENSP00000255764",996,"MED17","9440","MED10","84246",0.925,1
"1335","ENSP00000363614","ENSP00000268533","9606.ENSP00000268533","9606.ENSP00000363614",945,"NUDT7","283927","HMGCL","3155",0.246,0
"1336","ENSP00000457016","ENSP00000346340","9606.ENSP00000346340","9606.ENSP00000457016",902,"COPS8","10920","INO80E","283899",0.298,0
"1337","ENSP00000282588","ENSP00000378340","9606.ENSP00000378340","9606.ENSP00000282588",907,"COL4A6","1288","ITGA1","3672",0.331,0
"1338","ENSP00000295757","ENSP00000358151","9606.ENSP00000358151","9606.ENSP00000295757",951,"H2BC21","8349","HDAC11","79885",0.165,0
"1339","ENSP00000300413","ENSP00000156471","9606.ENSP00000156471","9606.ENSP00000300413",993,"AQR","9716","SNRPD1","6632",1,1
"1340","ENSP00000377934","ENSP00000228682","9606.ENSP00000228682","9606.ENSP00000377934",982,"GLI1","2735","KIF7","374654",0.36,0
"1341","ENSP00000337289","ENSP00000370214","9606.ENSP00000370214","9606.ENSP00000337289",998,"CENPO","79172","CENPQ","55166",1,1
"1342","ENSP00000400467","ENSP00000346015","9606.ENSP00000346015","9606.ENSP00000400467",999,"RPL27A","6157","RPL9","6133",1,1
"1343","ENSP00000340330","ENSP00000080059","9606.ENSP00000080059","9606.ENSP00000340330",975,"HDAC7","51564","KAT5","10524",0.309,0
"1344","ENSP00000348010","ENSP00000300413","9606.ENSP00000300413","9606.ENSP00000348010",939,"SNRPD1","6632","PRPF39","55015",0.873,1
"1345","ENSP00000360860","ENSP00000354394","9606.ENSP00000354394","9606.ENSP00000360860",967,"STAT1","6772","IFIT5","24138",0.273,0
"1346","ENSP00000281038","ENSP00000355889","9606.ENSP00000355889","9606.ENSP00000281038",945,"IARS2","55699","NARS2","79731",0.956,1
"1347","ENSP00000253861","ENSP00000272427","9606.ENSP00000272427","9606.ENSP00000253861",971,"EXOC6B","23233","EXOC4","60412",0.873,1
"1348","ENSP00000287490","ENSP00000389649","9606.ENSP00000389649","9606.ENSP00000287490",908,"ATP5PF","522","COX6A2","1339",0.182,0
"1349","ENSP00000369293","ENSP00000363318","9606.ENSP00000363318","9606.ENSP00000369293",998,"IL2RG","3561","IL2RA","3559",0.623,1
"1350","ENSP00000360782","ENSP00000372005","9606.ENSP00000372005","9606.ENSP00000360782",955,"DNAJC19","131118","PMPCA","23203",0.773,1
"1351","ENSP00000337289","ENSP00000364737","9606.ENSP00000364737","9606.ENSP00000337289",999,"CENPP","401541","CENPQ","55166",1,1
"1352","ENSP00000263205","ENSP00000255764","9606.ENSP00000255764","9606.ENSP00000263205",993,"MED10","84246","MED15","51586",1,1
"1353","ENSP00000215071","ENSP00000157812","9606.ENSP00000157812","9606.ENSP00000215071",999,"PSMC4","5704","PSMD8","5714",1,1
"1354","ENSP00000441543","ENSP00000216039","9606.ENSP00000216039","9606.ENSP00000441543",987,"JOSD1","9929","UBC","7316",0.615,1
"1355","ENSP00000290649","ENSP00000380178","9606.ENSP00000380178","9606.ENSP00000290649",932,"UBE2G1","7326","AMFR","267",0.632,1
"1356","ENSP00000348924","ENSP00000355778","9606.ENSP00000355778","9606.ENSP00000348924",909,"H3-3A","3020","H2BC7","8343",0.324,0
"1357","ENSP00000242285","ENSP00000225567","9606.ENSP00000225567","9606.ENSP00000242285",902,"GOSR2","9570","CLTA","1211",0.357,0
"1358","ENSP00000270458","ENSP00000319060","9606.ENSP00000319060","9606.ENSP00000270458",917,"CAMK2G","818","CACNG8","59283",0.376,0
"1359","ENSP00000375942","ENSP00000354633","9606.ENSP00000354633","9606.ENSP00000375942",999,"TAF11","6882","TBP","6908",0.909,1
"1360","ENSP00000343190","ENSP00000239231","9606.ENSP00000239231","9606.ENSP00000343190",965,"PANK3","79646","PPCDC","60490",1,1
"1361","ENSP00000341885","ENSP00000386717","9606.ENSP00000386717","9606.ENSP00000341885",999,"RPL31","6160","RPS2","6187",0.848,1
